Production of coal,tonnes (metric),...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24
"
	Country",Sub-commodity,2012.0,,2013.0,,2014.0,,2015.0,,2016.0,,2017.0,,2018.0,,2019.0,,2020.0,,2021.0,,2022.0,
United Kingdom,Bituminous,(g),16287000,(g),12673000,(g),11648000,(g),8598000,(g),4178000,#,2596000,,2383000,,2082000,,1328000,,788000,,494000
Uzbekistan,Bituminous,,232239,,199000,,408000,,125000,,160000,,124000,,181000,,249100,,263700,,275100,*,3e+05
Uzbekistan,Lignite,,3803825,,3891000,,3989000,,3361000,,3707000,,3915000,,3993400,,3806000,,3868100,,4781200,,5056200
Venezuela,Bituminous,,1910801,,1229309,,800640,,801697,,826000,,794000,,763000,,434000,,314000,,174000,,2e+05
Vietnam,Anthracite,,42083000,,41064000,,41086000,,41664000,,38735000,,38409000,,42384000,,47158000,,44598000,,48315600,,49854700
Zambia,Bituminous,,51710,,175994,,158757,,103439,,129470,,208608,,361871,,335042,,446153,,663345,,781466
Zimbabwe,Bituminous,,1593600,,3114200,,5782600,,4336100,,1635800,,2928000,,3347500,,2729922,,2750883,,3246000,,4185417
Notes,,,,,,,,,,,,,,,,,,,,,,,
Table notes,,,,,,,,,,,,,,,,,,,,,,,
1:,There is no international agreement as to the separate definition of lignite and brown coal. In some cases they are distinguished. Elsewhere both may be aggregated under one or other term,,,,,,,,,,,,,,,,,,,(1992 Onwards),,,
2:,Where no sub-commodity is shown the figures relate to all ranks of coal.,,,,,,,,,,,,,,,,,,,(2011 Onwards),,,
2:,"Data for coking coal is not always distinguished from other types of bituminous coal. The term ""bituminous"" in this table may include coking coal where the latter is not separately shown.",,,,,,,,,,,,,,,,,,,(2013 Onwards),,,
3:,Where no sub-commodity is shown the figures relate to all ranks of coal.,,,,,,,,,,,,,,,,,,,(2013 Onwards),,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,
#),Break in series,,,,,,,,,,,,,,,,,,,,,,
*),Estimate,,,,,,,,,,,,,,,,,,,,,,
a),Including lignite,,,,,,,,,,,,,,,,,,,,,,
c),Years ended 20 March following that stated,,,,,,,,,,,,,,,,,,,,,,
d),Spitzbergen: not including production from mines controlled by Russia,,,,,,,,,,,,,,,,,,,,,,
e),Including beneficiated and directly shipped material,,,,,,,,,,,,,,,,,,,,,,
f),Including sub-bituminous,,,,,,,,,,,,,,,,,,,,,,
g),Including anthracite,,,,,,,,,,,,,,,,,,,,,,
h),Years ended 31 March following that stated,,,,,,,,,,,,,,,,,,,,,,
i),Coal; all forms,,,,,,,,,,,,,,,,,,,,,,
j),Years ended 30 June of that stated,,,,,,,,,,,,,,,,,,,,,,
k),Includes a small amount of refuse recovery,,,,,,,,,,,,,,,,,,,,,,
l),Years ended 15 July of that shown,,,,,,,,,,,,,,,,,,,,,,
n),Excluding production in Kosovo,,,,,,,,,,,,,,,,,,,,,,
t),May also include other types of coal,,,,,,,,,,,,,,,,,,,,,,
